,Comment,Upvote,Time
241,I don't understand it..But really liked it ,1,hace 2 días
242,"Achinga, cuando apenas salio, solo habia comentarios en español xdd",169,hace 2 años
243,¿Por qué esta canción es tan adictiva? ,,hace 6 días
244,4 more years later this gonna be a decade old Damn. The feeling listening in 2017 was great.,1,hace 11 días
245,¡Acabo de descubrir que este video es el video con más me gusta en YouTube!,,hace 1 día
246,Quien sige escuchando esta joyita en este 2023 ,,hace 6 días
247,Nostalgia ,,hace 3 días
248,This video was posted 3 years ago yet basically a comment comes in every minute.,413,hace 3 años
249,Personne peux démodé cette musique ,1,hace 8 días
250,Despacitoooooo eu to viciaaaaadoooooo,6,hace 7 días
251,Más música como esta,,hace 3 días
252,Hit jam,,hace 10 días
253,I can’t speak Spanish but this song I love it ,1,hace 1 día
254,soy ese comentario en español que estabas buscando,376,hace 3 años
255,daddy yankee always hits,1,hace 7 días
256,"NOPE...you are not alone watching this masterpiece in August 2023..

TO BE HONEST I NEVER GET TIRED OF LISTENING THIS MASTERPIECE.",,hace 9 días
257,,1,hace 1 día
258,Jest to bardzo dobry stan teledysku️️,1,hace 7 días (editado)
259,Por aquí haciendo mi revisada anual a ver cuantas reproducciones lleva ,1,hace 3 días
260,Year 2024: Has 9.3 billion views!                                  Google: TF,300,hace 3 años
261,"Я из России всем привет музыка кайф, слушал 3 года назад и шас тож слушаю",,hace 9 días
262,I will never stop listening to this song,3,hace 11 días
263,"I was the 700k viwer after this Masterpiece reliesed, i never thought this is going to blow up like this🥹",2,hace 1 día (editado)
264,Antes en 2017 la gente venía a escuchar la canción y ahora en 2023 la gente viene a ver las visitas ,7,hace 8 días
265,️‍,3,hace 2 días
266,[SE VOCÊ ACHOU MEU COMENTÁRIO SE CONSIDERE SORTUDO PORQUE A MILHÕES DE COMENTÁRIOS AQUI],329,hace 2 años
267,Like si tu tambien te trasladas a ese momento en 2017 donde esta musica fue parte de tu dia,17,hace 7 días
268,Esta es la mejor música llevo 4 años escuchando esta joya de oro,15,hace 6 días
269,️️️️️️️️️,,hace 10 horas
270,One of the legendary music,,hace 8 días
271,J'adore cette musique,1,hace 1 día
272,This vid has more views than people that have access to internet ,405,hace 4 años (editado)
273,,1,hace 4 días
274,"Still watching in 2023 
This song is timeless ",1,hace 4 días
275,Legendary song(легендарная песня:)),,hace 4 días
276,la mejor de todas,,hace 9 días
277,Best for ever ️️️,,hace 1 día
278,I will come back to this comment after the views hit the world population.,531,hace 2 años
279,Sin escucharla pero me la aprendí,1,hace 9 días
280,love this song,,hace 5 días
281,,,hace 2 días
282,"Sí, sabes que ya llevo un rato mirándote
Tengo que bailar contigo hoy (DY)
Vi que tu mirada ya estaba llamándome
Muéstrame el camino que yo voy",1,hace 9 días
283,My favourite singer is ..  (santvani Trivedi) ।  Her voice is so charming.. if   you want to hear her voice search her name on YouTube ️,,hace 3 días
284,I swear everybody wanna get a million of likes.,126,hace 3 años (editado)
285,"уже 2023 год, а я все слушаю этот шедевр. 🥹",2,hace 11 días
286,todavía amo esta canción,2,hace 9 días
287,All time favourite..... Love from Bangladesh ️️️,,hace 2 horas
288,2023 y todavia escuchando este temazo,2,hace 9 días
289,This song with never get boring,,hace 7 horas
290,"Roses are red
Violets are blue
You only came here to see if the views grew",226,hace 4 años (editado)
291,Que buena rola,1,hace 6 días
292,Addicted..,,hace 6 días
293,Esto es una joya  quien en el 2023,1,hace 1 día
294,Amazing song! God I miss 2017!,,hace 5 días
295,I've heard this song since I was little and now I just realized that there are billions of people who watch it,1,hace 1 día
296,"Teacher: whats the populations of the world

Me: uno despacito",263,hace 2 años (editado)
297,"The time when this song came out was summer of my life, miss that time ;-;",1,hace 5 días
298,"The best song in the world, love from Kyrgyzstan",,hace 6 días
299,Old days memories starting bring back ... whenever I hear this song,,hace 2 días
300,Me se la cancion desde los 20k ️,1,hace 7 días
301,"When I was young, I enjoyed the song and beat without care, but now that I got older these lyrics and the video are just crazy bruh ",,hace 2 días
302,"All of us here for checking the number of views, giving it more views, and my head already hurts because I spent 49 minutes on this video and I think Im failing math kthx.",140,hace 4 años
303,This video has been viewed more times than there are humans on Earth. That's honestly impressive.,1,hace 9 días
304,I listen this song from one year ,1,hace 6 días
305,"What a amazing song
Forget the views you yourself must have heard this song a million times!!!",,hace 1 día
306,Прекрасная песня. Очень красивые люди.,,hace 4 días
307,Always on top ,,hace 1 día
308,"La gente  sigue entrando en noviembre de 2018 :v
Solo vine a mirar las visitas",178,hace 4 años
309,Encore un magnifique musique,1,hace 8 días
310,Just amazing ,,hace 9 días
311,"musica en español existe 
El 90% de los gringos en los comentarios: omg this is so good bro",,hace 1 día
312,Alguien que en pleno 2023 siga escuchando esta joyita,2,hace 7 días
313,Alguien en 2024 escuchando este temazo. Dejen su like <3,3,hace 1 día
314,R.I.P Gangnam Style,258,hace 4 años
315,Que viva puerto rico  mejor ritmo.,11,hace 6 días
316,que hermosa esa canción,2,hace 7 días
317,This is now the new National Anthem of Puerto Rico 🇵🇷,1,hace 3 días
318,the fact this song has more views then people is insane,2,hace 6 días
319,Super️,,hace 3 días
320,Imagine being able to say “I made a video that has the amount of views as the human population”,113,hace 2 años (editado)
321,ya son 6 años ,3,hace 10 días
322,Esta musica si que trae buenos recuerdos,30,hace 7 días
323,,,hace 1 día
324,Digan lo que quieran pero Despacito nunca pasará de moda. En su momento la rompió y lo seguirá haciendo.,,hace 6 días
325,I really like this song,,hace 9 horas
326,The views are going up just because of the people who came to check theme ,327,hace 3 años
327,Love  THIS song from Bangladesh 🇧🇩🇧🇩🇧🇩,1,hace 11 días
328,q nostalgia pqp,,hace 9 días
329,I didn’t understand its lyrics but from 2017 till 2023 i still listen this song 🥹,,hace 1 hora
330,Luis Fonsi X  Daddy Yankee  took this song to next level,,hace 9 días
331,"it’s 2023, and it’s still has same vibe 🫰",1,hace 2 días
332,"MUSIC = 99%SPANISH 1%ENGLISH

COMMENT = 1%SPANISH 99%ENGLISH",648,hace 3 años (editado)
333,"2023, je suis encore là . Cette chanson est un énorme tube ",,hace 6 días (editado)
334,Song is beautiful.Great!,,hace 9 días
335,Linda  musica,1,hace 2 días
336,"I'm from Indonesia🇮🇩 I even knew this song a long time ago, but I don't know the origin of this song, but this is the first time I watched the MV, I was even more surprised when I saw the viewers",1,hace 10 días
337,,,hace 2 días
338,"2017: Listen to the song
2018: Check the veiws
2019: Check the veiws
2020: Check the veiws again",388,hace 2 años
339,Things brings back so many memories of my childhood I luv this since I was in elementary even though I don't a word of Spanish lol,,hace 7 días
340,"Life was simple back when this song came out, 2017-2018 was peak of YouTube",,hace 6 días
341,Amor desde la India ️,,hace 3 días
342,"cool song! By the way, I'm from in Russia 🇷🇺",2,hace 9 días (editado)
343,,,hace 3 días
344,"I'm just here to check the current population of the world.

I said ""current"", not ""future"" population. If that's what I want I would go to Baby Shark.",5.7 K,hace 2 años (editado)
345,Cette chanson est une masterclass ,,hace 10 días
346,The sudden urge to come back to this song 5 years later in 2023,2,hace 4 días
347,*The views and the likes say that language doesnt matter for a song you only  need to enjoy the feeling of the song in the soul *,1,hace 6 días (editado)
348,Love from INDIA🇮🇳 ,2,hace 3 días
349,"Who else just comes to check the views?! 
    Just me okay....",680,hace 3 años
350,I love this song ,,hace 10 días
351,"Buena cancione que habla de amor, bueno ",,hace 8 días
352,Ya mero llega al millón,,hace 1 día
353,Şarkı dünyaca rekor kırmış harika,1,hace 7 días
354,"el video mas visto de YouTube 
 Daddy Yankee y Luis Fonsi 
ese es el éxito de un cantante si quieres ser cantante no lo dudes llegaras a tu meta muy pronto gracias",1,hace 3 días
355,That’s more than half the population of people on this planet,294,hace 3 años
356,Saudades de 2017,,hace 8 días
357,Views will passed world population..unstoppable song️‍,2,hace 6 días
358,Вау классно аоао,1,hace 1 día
359,Está joya no para de sonar y eacucharla en 2023 es un Himno inmortal,14,hace 9 días
360,,,hace 2 días
361,if i ever forget how many people are on this planet im coming here...,214,hace 3 años
362,Daddy Yankee is fuego of RNB  the best singer forever ,,hace 8 días
363,Salud al pueblo español 🇪🇸,1,hace 5 días
364,,,hace 3 días
365,Vale pero la suerte de que mañana lo voy a escuchar en persona es AAAA,,hace 7 días
366,Esta cocion nunca va a pasar de moda,2,hace 2 horas
367,I’m surprised that there’s no “Who’s watching during quarantine?” comments.,1.1 K,hace 3 años
368,تجنننن بشكل مش طبيعي ,2,hace 6 días
369,2023 só porque marcou,,hace 7 días
370,Top de mais Alguém em 2023 escutando esta música    Top ,8,hace 4 días
371,This song is heart beat BOOM,1,hace 11 días
372,"Легенда, захожу чтобы вспомнить это беззаботное время (",,hace 3 días
373,"World population 7.5 billion 
Despacito 6.3 billion",195,hace 4 años
374,"Эту песню послушали, всё население земли!!! ",1,hace 5 días
375,Bellissima cancona ️,2,hace 7 días
376,,,hace 1 día
377,Un día nuestra música Punjabi también llegará a este sello. Im punjabi and don't know the lyrics still enjoying with song vibe,2,hace 8 días
378,"Yo creí que era más vieja,recuerdo cuando a mi hermana le gustaba,parecía 2016 pero es de 2017",1,hace 22 horas
379,"Если русский человек отмечайся) 
Посмотрим сколько нас",117,hace 3 años (editado)
380,"Si esté comentario llega a 1k de likes , quiere decir que está cación nunca pasará de moda",43,hace 9 días
381,I have listened to this song 1000+ times ,,hace 4 días
382,Mui hermosa musica  cracias,,hace 2 días
383,Best collab of century ,1,hace 10 días
384,"Gyönyörű, imádlak benneteket!",,hace 3 días
385,"I don't know Spanish a bit
Meanwhile I m fuckin bad at English
Yet I m here",849,hace 2 años (editado)
386,Totally crazy song,,hace 7 días
387,Хороший музыка UZ ,1,hace 7 días
388,"The song of life, listen to me, when I listen to it, I calm down immediately and I see this world in colorful colors, it is really worth going forward, believe me. I've been on YouTube for a few years, and in 2019. I created an account and I know how it feels like to feel a real hit.",,hace 3 días
389,¡Este video es perpetuamente famoso!,1,hace 6 días (editado)
390,amazing,,hace 2 días
391,I just came to see how many likes it got lol.Also if you find my comment your actually awesome,132,hace 3 años
392,Legend still come to listen this masterpiece ,,hace 5 días
393,I don't understand a word they're saying...... But I love it ,,hace 5 días
394,Miasta Krakowa w Polsce jest na stronie głównej ,,hace 3 días
395,Настоящий бас ,1,hace 6 días
396,i love the music,,hace 2 días
397,Who’s here before this video reaches the population of the earth,270,hace 3 años
398,The song has the more view than population of world  .. it shows how good this song is ,,hace 8 días
399,다시 들어도 좋아~,,hace 8 días
400,"28/07/2023. Super Nostalgia + Tbt de Respeito Pop Latino Internacional das clássicas. Na Moral, é Ano 2017. ""Eu Amo Essa Música"" Clipe Perfeito, seguindo a 9 Bilhões de visualizações. Comentário Made In Brazil.🇧🇷",,hace 4 días
401,podiam reviver essa música,1,hace 8 días
402,神曲,,hace 1 día
403,Despacito: Baby shark was the impostor,559,hace 2 años
404,انه اغنيه جميله جدا انا احبها جدا تحياتي من سوريا 🇸🇾,2,hace 9 días
405,Die music ist sehr gut liebe Grüße aus Berlin ,3,hace 6 días
406,I like this song .,,hace 20 horas
407,Can we all confirm when this song came out we were in our prime?,1,hace 6 días
408,E em pleno 2023. Tamu aqui ouvindo Despacito,1,hace 4 días
409,twerking in spanish,255,hace 2 años
410,Ambos unos genios,1,hace 9 días
411,"...Грискам Ви кааааато солетки, толкова сте сладкосолени...Поздрави...Не мога без ...Вас и този ритъм...",,hace 5 días
412,"Puse esté comentario para que cuando alguien le pongan like puedo escuchar esto otra vez. 
¡También 8 billion de vistas entonces todo el mundo a escuchado este cancion que loco!",2,hace 1 día
413,Mən bu mahnını çox sevirəm Gözəl ,,hace 6 días
414,amo,,hace 23 horas
415,"How to count the world population the easier way
Luis Fonsi: Des pa ci to",126,hace 3 años
416,I use to hear this when I'm a kid and my mom love to listen it even though we are Malaysia,,hace 11 días
417,"It,2023 my favourite song",1,hace 4 días
418,All time is my fev #DadyYnkee,,hace 43 minutos
419,Oigan llevo escuchando Esta cancion Desde ase 4 años,,hace 8 días
420,Best songs favorite songI like this song,,hace 1 día
421,"petition to declare „despacito“ as a unit that represents the amount of people living on earth 

So right now there are 0,89 despactio on earth",204,hace 3 años
422,Watching since it was Realeased,1,hace 6 días
423,Pronto En Los 10Mil Millones Quien Dice Que Sii,2,hace 6 días
424,Yeah it’s a pretty good song,1,hace 2 días
425,Nostalgia,1,hace 9 días
426,QUE RICO QUE SON DE PUERTO RICO ,2,hace 2 días
427,Let's see how many people who are watching this during quarantine,140,hace 3 años
428,Un clásico acá apronto del 2024 y sigo escuchando música quien de él 2023,,hace 7 días
429,until now i'm listening Despacito,,hace 6 días
430,"Es increible como los Koreanos superaron esta canción, aquí pura vulgaridad y los Koreanos puro Arte.",,hace 3 días
431,"Honestly,the first time I heard this song I really liked it and that was years ago. I hope they continue to make more songs that will reach 10B views",,hace 5 días
432,Esta es la leyenda de todas las canciones,,hace 18 horas
433,"Song: Spanish
Comments: English
Location: Puerto Rico
Hotel: Trivago",1.7 K,hace 2 años
434,I will remember this song always when I was in 6th standard . And tell my kids .,,hace 6 días
435,I'm Indian but I love this song,,hace 9 días
436,so good,,hace 2 días
437,"¡Ay!

Fonsi, DY

Oh, oh no, oh no (oh)

Hey yeah",3,hace 9 días
438,Despacito is a certified banger!,2,hace 1 día
439,"Song: 3 years ago.
Comments: 10 minutes ago.",827,hace 3 años
440,. Un booom. Ke letra aa jaja nunca había escuchado toda la letra jaka,,hace 7 días
441,I remember that feeling when i memorised this song completely to be cool infront of classmates in my school,,hace 4 días
442,القرآن يجعل الحياه رائعه ,1,hace 1 día
443,이 음악 좋아요~~:),1,hace 7 días
444,Es la mejor canción española🇪🇸,2,hace 2 días
445,3.8 M comment if u find me u are real legend,201,hace 2 años (editado)
446,Das ist ein Song an die Freude und Sinnlichkeit. ,,hace 6 días
447,Ya tienen 8226 M de visitas la ronpieron,,hace 11 días
448,As the kids say it’s fire  ,,hace 3 días
449,I decided to watch it again ,1,hace 10 días
450,August 2023 the vibe still doesn't decrease ,1,hace 4 horas
451,"Baby shark:we have the most viewed video
Every non kid: Let's create history",161,hace 2 años
452,World favourite one ️,,hace 10 días
453,2023 rola,,hace 10 días
454,Türkiyeden selamlar bu müzik kulaga hoş geliyor ve dunya nüfusuna ulaşmış dinlenme,,hace 2 días
455,"h, tú, tú eres el imán y yo soy el metal
Me voy acercando y voy armando el plan
Solo con pensarlo se acelera el pulso (oh yeah)",6,hace 9 días
456,la mejor cancion del mundo,1,hace 3 días
457,If you found mine in 2.9 million comment thank you very much,251,hace 4 años
458,"Yo en 2017 : Temazo 
Yo en 2020 : Temazo 
Yo en 2023 : Ptm Temazo ",9,hace 9 días
459,,1,hace 11 días
460,Quien recordando este temazo en 2023?,1,hace 3 días
461,Đỉnh,,hace 7 días
462,Beautiful best song....,1,hace 3 días
463,This is the most liked video of all time and I make a video to surpass and be a Legend ,937,hace 1 año (editado)
464,Es una melodia superior,,hace 6 días
465,Felicidades la mejor canción del mundo,,hace 9 días
466,الأغنية بيها ذكريات مو طبيعية اريد ارجع لسنة 2017 🥹,1,hace 3 días
467,"Me encanta este ritmo, despacito... y terminar rapidito ",1,hace 8 días
468,WHO'S HERE LISTENING TO THIS MASTERPIECE IN 2023 AUG ,5,hace 1 día (editado)
469,"Just checking out 3.1 million comments and 6B views..
4th Nov 2019",274,hace 4 años (editado)
470,a mi abuelo le encantaba,1,hace 9 días
471,Its a god level song,1,hace 7 días
472,,,hace 58 minutos
473,This is song - Legend!,2,hace 6 días
474,"Şarkı Muhteşem Bayıldım Kral Şarkı
Mükemmel ",1,hace 3 días
475,"If he looks on the statistics for this video, he will see

Recommended: 43 million views",482,hace 3 años
476,...Такава динамика и настроение...ваш патент...,,hace 5 días
477,Me da nostalgia aaaahhhhh,4,hace 9 días
478,miss this song so much,2,hace 15 horas (editado)
479,Esta canción casi tiene 7 años de edad ,,hace 4 días
480,2023 was awesome ,,hace 2 días
481,"Deapacito: I can't be crossed 
Babies who can't even poop in the toilet: hold my baby shark",234,hace 2 años
482,Amazing song,,hace 8 días
483,No words to exaplain my feels for this song,2,hace 6 días
484,2023 still love this song,,hace 1 día
485,Thật không thể tin được ,,hace 7 días
486,Love from Assam ,,hace 3 días
487,When you realize that most of the views are from the people who came here to check the views. LOL. ,129,hace 4 años (editado)
488,2017 хочу вернуться туда,1,hace 10 días
489,2023 auguem escutando essa linda musica ?,11,hace 9 días
490,Wao ,,hace 3 días
491,This song contributes 8 billion views out of 15 billion views on this channel !!!,1,hace 5 días (editado)
492,Catchy song ,,hace 2 horas
493,"No one:
Not a single soul:
Aliens: So this is earth, a.k.a despacito.",140,hace 3 años
494,This song crack all records 9 billion views,,hace 6 días
495,far too many memories. would go back if i could,1,hace 5 días
496,Great,,hace 3 días
497,This music  is best performance in the world ️,,hace 5 días
498,There 8.4billion around people on earth and this is the only one song on earth who got (8.2)billion views OMG love it ️️️,2,hace 3 días
499,I wonder how much of the people who watched this vid is still alive,117,hace 3 años
