,Dataset name,Data type,Task,Attribute type,No of instances,No of attribute,Date Donated,Year
24,Anuran Calls (MFCCs),Multivariate,"Classification, Clustering",Real,2K,22,2/23/2017,2017
0,Gesture Phase Segmentation,"Multivariate, Sequential, Time-Series","Classification, Clustering",Real,9K,50,6/17/2014,2014
1,Internet Usage Data,,,"Categorical, Integer",1K,72,6/29/1999,1999
2,Simulated Falls and Daily Living Activities Data Set,Time-Series,Classification,Integer,06K,138,6/5/2018,2018
3,Synthetic Control Chart Time Series,Time-Series,"Classification, Clustering",Real,600,-,6/7/1999,1999
4,Character Font Images,Multivariate,Classification,"Integer, Real",745K,411,8/13/2016,2016
5,HEPMASS,Multivariate,Classification,Real,5M,28,1/27/2016,2016
6,Twitter Data set for Arabic Sentiment Analysis,Text,Classification,,2K,2,4/10/2014,2014
7,Guitar Chords finger positions,Text,Classification,N/A,63K,5,6/4/2020,2020
8,EMG Physical Action Data Set,Time-Series,Classification,Real,10K,8,7/26/2011,2011
9,Ultrasonic flowmeter diagnostics,Multivariate,Classification,Real,540,173,1/12/2018,2018
10,Data for Software Engineering Teamwork Assessment in Education Setting,"Sequential, Time-Series",Classification,"Integer, Real",74,102,6/28/2017,2017
11,Motion Capture Hand Postures,Multivariate,"Classification, Clustering",Real,1K,38,1/26/2017,2017
12,Libras Movement,"Multivariate, Sequential","Classification, Clustering",Real,360,91,8/16/2009,2009
13,Devanagari Handwritten Character Dataset,null,Classification,Integer,92K,-,8/31/2016,2016
14,Facebook Large Page-Page Network,Multivariate,Classification,N/A,47K,-,7/21/2020,2020
15,Autistic Spectrum Disorder Screening Data for Adolescent,Multivariate,Classification,Integer,104,21,12/23/2017,2017
16,Malware static and dynamic features VxHeaven and Virus Total,Multivariate,Classification,"Integer, Real",96K,-,1/30/2019,2019
17,Gas sensor array under flow modulation,"Multivariate, Time-Series","Classification, Regression",Real,58,-,9/9/2014,2014
18,seismic-bumps,Multivariate,Classification,Real,58K,19,4/2/2013,2013
19,Optical Interconnection Network,Multivariate,"Classification, Regression","Integer, Real",640,10,3/28/2018,2018
20,Immunotherapy Dataset,Univariate,Classification,"Integer, Real",90,8,1/3/2018,2018
21,ICU,,,Real,-,-,N/A,-
22,User Identification From Walking Activity,"Univariate, Sequential, Time-Series","Classification, Clustering",Real,-,-,3/1/2014,2014
23,Wikipedia Math Essentials,Time-Series,Regression,Real,731,-,4/19/2021,2021
24,EMG dataset in Lower Limb,,,Real,132,5,2/4/2014,2014
0,Forest type mapping,Multivariate,Classification,,326,27,5/24/2015,2015
1,KEGG Metabolic Relation Network (Directed),"Multivariate, Univariate, Text","Classification, Regression, Clustering","Integer, Real",41K,24,11/27/2011,2011
2,Character Trajectories,Time-Series,"Classification, Clustering",Real,86K,3,8/19/2008,2008
3,Planning Relax,Univariate,Classification,Real,182,13,7/16/2012,2012
4,Avila,Multivariate,Classification,Real,87K,10,6/19/2018,2018
5,"Taxi Service Trajectory - Prediction Challenge, ECML PKDD 2015","Multivariate, Sequential, Time-Series, Domain-Theory","Clustering, Causal-Discovery",Real,71M,9,7/10/2015,2015
6,DrivFace,Multivariate,"Classification, Regression, Clustering",Real,606,-,5/25/2016,2016
7,OpinRank Review Dataset,,,,-,-,7/25/2011,2011
8,SCADI,Multivariate,"Classification, Clustering",,70,206,4/13/2018,2018
9,"Reuters RCV1 RCV2 Multilingual, Multiview Text Categorization Test collection",Multivariate,Classification,Real,74K,-,9/5/2013,2013
10,Artificial Characters,Multivariate,Classification,"Categorical, Integer, Real",6K,7,6/30/1992,1992
11,BLE RSSI Dataset for Indoor localization and Navigation,"Multivariate, Sequential, Time-Series","Classification, Clustering",Integer,61K,15,1/24/2018,2018
12,wiki4HE,Multivariate,"Regression, Clustering, Causal-Discovery",,913,53,5/3/2015,2015
13,LastFM Asia Social Network,Multivariate,Classification,N/A,62K,-,7/30/2020,2020
14,Wisesight Sentiment Corpus,"Multivariate, Text",Classification,N/A,74K,4,8/24/2020,2020
15,Geo-Magnetic field and WLAN dataset for indoor localisation from wristband and smartphone,"Multivariate, Sequential, Time-Series","Classification, Regression, Clustering","Integer, Real",54K,25,1/9/2017,2017
16,SGEMM GPU kernel performance,Multivariate,Regression,Integer,6K,18,2/26/2018,2018
17,NoisyOffice,Multivariate,"Classification, Regression",Real,216,216,1/2/2015,2015
18,Shoulder Implant X-Ray Manufacturer Classification,Multivariate,Classification,Real,597,1,5/19/2020,2020
19,KASANDR,Multivariate,Causal-Discovery,Integer,76M,-,5/15/2017,2017
20,Urban Land Cover,Multivariate,Classification,,168,148,3/26/2014,2014
21,Improved Spiral Test Using Digitized Graphics Tablet for Monitoring Parkinson's Disease,Multivariate,"Classification, Regression, Clustering",Real,40,7,3/4/2016,2016
22,"UrbanGB, urban road accidents coordinates labelled by the urban center",Univariate,Clustering,Real,18K,2,11/21/2019,2019
23,Cryotherapy Dataset,Univariate,Classification,"Integer, Real",90,7,1/3/2018,2018
24,LSVT Voice Rehabilitation,Multivariate,Classification,Real,126,309,2/18/2014,2014
0,Refractive errors,Multivariate,Classification,Integer,467,79,4/26/2020,2020
1,PEMS-SF,"Multivariate, Time-Series",Classification,Real,440,-,5/21/2011,2011
2,KEGG Metabolic Reaction Network (Undirected),"Multivariate, Univariate, Text","Classification, Regression, Clustering","Integer, Real",55K,29,11/27/2011,2011
3,Multimodal Damage Identification for Humanitarian Computing,"Multivariate, Text",Classification,Integer,88K,-,5/31/2018,2018
4,GNFUV Unmanned Surface Vehicles Sensor Data,"Multivariate, Time-Series",Regression,Real,67K,5,5/5/2018,2018
5,MiniBooNE particle identification,Multivariate,Classification,Real,07K,50,12/12/2010,2010
6,Container Crane Controller Data Set,"Univariate, Domain-Theory","Classification, Regression",Real,15,3,12/31/2017,2017
7,Online Video Characteristics and Transcoding Time Dataset,Multivariate,Regression,"Integer, Real",29K,11,5/18/2015,2015
8,Gisette,Multivariate,Classification,Integer,5K,-,2/28/2008,2008
9,REALDISP Activity Recognition Dataset,"Multivariate, Time-Series",Classification,Real,42K,120,7/24/2014,2014
10,Query Analytics Workloads Dataset,Multivariate,"Regression, Clustering",Real,260K,8,6/21/2019,2019
11,One-hundred plant species leaves data set,null,Classification,Real,6K,64,12/2/2012,2012
12,p53 Mutants,Multivariate,Classification,Real,77K,-,2/8/2010,2010
13,: Simulated Data set of Iraqi tourism places,Multivariate,"Classification, Clustering",N/A,232,16,1/9/2020,2020
14,Sentence Classification,Text,Classification,Integer,-,-,11/4/2014,2014
15,MEx,Time-Series,"Classification, Clustering",Real,26K,710,9/19/2019,2019
16,"Hybrid Indoor Positioning Dataset from WiFi RSSI, Bluetooth and magnetometer","Multivariate, Sequential, Time-Series",Classification,Real,54K,65,12/17/2016,2016
17,Wilt,Multivariate,Classification,,89K,6,3/12/2014,2014
18,selfBACK,Time-Series,"Classification, Clustering",Real,14K,6,6/14/2020,2020
19,QSAR Bioconcentration classes dataset,Multivariate,"Classification, Regression",N/A,779,14,10/10/2019,2019
20,Horton General Hospital,"Multivariate, Time-Series",Causal-Discovery,Integer,139,6,11/12/2019,2019
21,BLOGGER,Multivariate,Classification,,100,6,7/5/2013,2013
22,Dataset for ADL Recognition with Wrist-worn Accelerometer,"Multivariate, Time-Series","Classification, Clustering",,-,3,2/10/2014,2014
23,Eco-hotel,,,,401,1,7/22/2017,2017
24,Divorce Predictors data set,"Multivariate, Univariate",Classification,Integer,170,54,7/23/2019,2019
0,Sirtuin6 Small Molecules,Tabular,Classification,N/A,100,-,10/27/2022,2022
1,GNFUV Unmanned Surface Vehicles Sensor Data Set 2,"Multivariate, Sequential, Time-Series",Regression,Real,19K,6,9/12/2018,2018
2,Low Resolution Spectrometer,Multivariate,Classification,"Integer, Real",531,102,2/29/1988,1988
3,StoneFlakes,Multivariate,"Classification, Clustering, Causal-Discovery",Real,79,8,5/19/2014,2014
4,Person Classification Gait Data,Multivariate,Classification,Real,48,321,3/1/2020,2020
5,Labeled Text Forum Threads Dataset,Text,Classification,Integer,200,9,4/7/2019,2019
6,Indoor User Movement Prediction from RSS data,"Multivariate, Sequential, Time-Series",Classification,Real,2K,4,2/3/2016,2016
7,Record Linkage Comparison Patterns,Multivariate,Classification,Real,75M,12,3/9/2011,2011
8,Wearable Computing: Classification of Body Postures and Movements (PUC-Rio),Sequential,Classification,"Integer, Real",63K,18,4/8/2013,2013
9,YouTube Comedy Slam Preference Data,Text,Classification,,14M,3,4/9/2012,2012
10,QSAR oral toxicity,Multivariate,Classification,N/A,99K,-,9/30/2019,2019
11,Sponge,Multivariate,Clustering,"Categorical, Integer",76,45,N/A,-
12,Detect Malacious Executable(AntiVirus),Multivariate,Classification,Real,373,513,3/2/2016,2016
13,Physical Unclonable Functions,Multivariate,Classification,Integer,6M,129,10/7/2018,2018
14,User Profiling and Abusive Language Detection Dataset,null,Classification,N/A,92K,3,4/24/2019,2019
15,microblogPCU,"Multivariate, Univariate, Sequential, Text","Classification, Causal-Discovery","Integer, Real",58K,20,3/16/2015,2015
16,UJIIndoorLoc-Mag,"Multivariate, Sequential, Time-Series","Classification, Regression, Clustering","Integer, Real",40K,13,9/9/2015,2015
17,Activities of Daily Living (ADLs) Recognition Using Binary Sensors,"Multivariate, Sequential, Time-Series","Classification, Clustering",,75K,-,10/27/2013,2013
18,DSRC Vehicle Communications,"Sequential, Text",Clustering,Real,10K,5,12/12/2017,2017
19,Hill-Valley,Sequential,Classification,Real,606,101,3/19/2008,2008
20,CLINC150,Text,Classification,N/A,7K,-,5/7/2020,2020
21,IDA2016Challenge,Multivariate,Classification,Integer,76K,171,1/16/2017,2017
22,Repeat Consumption Matrices,Multivariate,Clustering,Real,130K,-,3/21/2018,2018
23,Vicon Physical Action Data Set,Time-Series,Classification,Real,3K,27,7/26/2011,2011
24,HIV-1 protease cleavage,Multivariate,Classification,Categorical,59K,1,4/24/2015,2015
0,Relative location of CT slices on axial axis,Domain-Theory,Regression,Real,5K,386,7/6/2011,2011
1,MicroMass,Multivariate,Classification,Real,931,-,8/11/2013,2013
2,Dexter,Multivariate,Classification,Integer,6K,-,2/28/2008,2008
3,Gastrointestinal Lesions in Regular Colonoscopy,Multivariate,Classification,Real,76,698,10/14/2016,2016
4,Crowdsourced Mapping,Multivariate,Classification,,55K,29,5/24/2016,2016
5,Kinship,Relational,Relational-Learning,Categorical,104,12,6/30/1990,1990
6,Dodgers Loop Sensor,,,"Categorical, Integer",4K,3,11/30/2006,2006
7,Wave Energy Converters,Multivariate,Regression,Real,288K,49,6/29/2019,2019
8,Folio,Multivariate,"Classification, Clustering",,637,20,7/4/2015,2015
9,Spoken Arabic Digit,"Multivariate, Time-Series",Classification,Real,8K,13,9/12/2010,2010
10,Roman Urdu Data Set,Text,Classification,,20K,2,8/28/2018,2018
11,Online Handwritten Assamese Characters Dataset,"Multivariate, Sequential",Classification,Integer,24K,-,3/31/2011,2011
12,chipseq,Sequential,Classification,Integer,96K,-,2/20/2018,2018
13,Demospongiae,Multivariate,Classification,Integer,503,-,1/20/2010,2010
14,Stock keeping units,Multivariate,Clustering,"Integer, Real",28K,9,4/9/2019,2019
15,GitHub MUSAE,Multivariate,Classification,N/A,7K,-,10/6/2019,2019
16,ser Knowledge Modeling Data (Students' Knowledge Levels on DC Electrical Machines),Multivariate,Classification,Real,403,5,6/19/2013,2013
17,Exasens,Multivariate,"Classification, Clustering",Integer,399,4,4/21/2020,2020
18,Bach Choral Harmony,Sequential,Classification,,67K,17,5/19/2014,2014
19,QSAR fish bioconcentration factor (BCF),Multivariate,Regression,"Integer, Real",06K,7,11/26/2019,2019
20,Turkish Spam V01,Text,Classification,N/A,826,2,4/6/2019,2019
21,UJI Pen Characters,"Multivariate, Sequential",Classification,Integer,36K,-,5/31/2007,2007
22,Reuters Transcribed Subset,Text,Classification,,200,-,3/7/2008,2008
23,Quadruped Mammals,"Multivariate, Data-Generator",Classification,Real,-,72,8/24/1992,1992
24,Activity Recognition from Single Chest-Mounted Accelerometer,"Univariate, Sequential, Time-Series","Classification, Clustering",Real,-,-,3/1/2014,2014
0,SIFT10M,Multivariate,Causal-Discovery,Integer,16M,128,2/22/2016,2016
1,Quality Assessment of Digital Colposcopies,Multivariate,Classification,Real,287,69,3/7/2017,2017
2,CalIt2 Building People Counts,,,"Categorical, Integer",08K,4,11/30/2006,2006
3,Predict keywords activities in a online social media,,,"Integer, Real",51,35,12/11/2013,2013
4,MoCap Hand Postures,Multivariate,"Classification, Clustering","Integer, Real",1K,38,11/21/2016,2016
5,AAAI 2014 Accepted Papers,Multivariate,Clustering,,399,6,7/29/2014,2014
6,Youtube cookery channels viewers comments in Hinglish,"Multivariate, Text",Classification,N/A,8K,3,7/2/2019,2019
7,Victorian Era Authorship Attribution,Text,Classification,,6K,-,5/30/2018,2018
8,OCT data & Color Fundus Images of Left & Right Eyes,Multivariate,Classification,Real,50,2,10/31/2016,2016
9,Nomao,Univariate,Classification,Real,47K,120,7/3/2012,2012
10,Z-Alizadeh Sani,null,Classification,"Integer, Real",303,56,11/16/2017,2017
11,Mesothelioma's disease data set,Multivariate,Classification,Real,324,34,1/10/2016,2016
12,Meta-data,Multivariate,Classification,"Categorical, Integer, Real",528,22,2/29/1996,1996
13,LastFM Asia Social Network,Multivariate,Classification,N/A,62K,-,8/21/2020,2020
14,Reuter_50_50,"Multivariate, Text, Domain-Theory","Classification, Clustering",Real,5K,-,9/7/2011,2011
15,Miskolc IIS Hybrid IPS,Text,"Classification, Clustering, Causal-Discovery",Integer,54K,67,7/3/2016,2016
16,First-order theorem proving,Multivariate,Classification,Real,12K,51,4/16/2013,2013
17,Shoulder Implant Manufacture Classification,Multivariate,Classification,N/A,597,1,5/14/2020,2020
18,ICMLA 2014 Accepted Papers Data Set,Multivariate,"Classification, Clustering",,105,5,2/18/2018,2018
19,NYSK,"Multivariate, Sequential, Text",Clustering,,42K,7,10/10/2013,2013
20,Russian Corpus of Biographical Texts,Text,Classification,N/A,200,2,6/2/2020,2020
21,Pseudo Periodic Synthetic Time Series,,,N/A,100K,-,2/7/1999,1999
22,QSAR androgen receptor,Multivariate,Classification,N/A,69K,-,9/30/2019,2019
23,AAAI 2013 Accepted Papers,Multivariate,Clustering,,150,5,7/29/2014,2014
24,DeliciousMIL: A Data Set for Multi-Label Multi-Instance Learning with Instance Labels,Text,Classification,Integer,23K,-,10/26/2016,2016
0,Burst Header Packet (BHP) flooding attack on Optical Burst Switching (OBS) Network,Text,Classification,Integer,08K,22,8/27/2017,2017
1,Coil 1999 Competition Data,,,"Categorical, Real",340,17,9/8/1999,1999
2,Connectionist Bench (Nettalk Corpus),,,Categorical,01K,4,10/10/1954,1954
3,Newspaper and magazine images segmentation dataset,null,Classification,,101,-,7/14/2014,2014
4,Nasarian CAD Dataset,Multivariate,Classification,N/A,150,52,2/27/2020,2020
5,BLE RSSI dataset for Indoor localization,"Sequential, Time-Series",Classification,Integer,57K,5,5/28/2019,2019
6,KDC-4007 dataset Collection,"Multivariate, Text","Classification, Regression",Integer,01K,-,4/26/2017,2017
7,PubChem Bioassay Data,Multivariate,Classification,"Integer, Real",-,-,3/28/2011,2011
8,Abscisic Acid Signaling Network,Multivariate,Causal-Discovery,Integer,300,43,4/2/2008,2008
9,DBWorld e-mails,Text,Classification,,64,-,11/5/2011,2011
10,extention of Z-Alizadeh sani dataset,null,Classification,"Integer, Real",303,59,11/16/2017,2017
11,Firm-Teacher_Clave-Direction_Classification,Multivariate,Classification,,8K,20,4/23/2015,2015
12,Discrete Tone Image Dataset,Multivariate,Classification,,71,11,1/19/2018,2018
13,Shoulder Implant X-Ray Manufacturer Classification,Multivariate,Classification,Real,597,1,5/19/2020,2020
14,Badges,"Univariate, Text",Classification,N/A,294,1,8/31/1994,1994
15,MEU-Mobile KSD,Multivariate,Classification,"Integer, Real",86K,71,5/13/2016,2016
16,Northix,"Multivariate, Univariate, Text",Classification,"Integer, Real",115,200,8/14/2012,2012
17,AutoUniv,Multivariate,Classification,"Categorical, Integer, Real",-,-,11/2/2010,2010
18,Mturk User-Perceived Clusters over Images,"Multivariate, Text",Clustering,Integer,180,500,11/1/2016,2016
19,"USPTO Algorithm Challenge, run by NASA-Harvard Tournament Lab and TopCoder Problem: Pat",Domain-Theory,Classification,Integer,306,5,10/12/2013,2013
20,TTC-3600: Benchmark dataset for Turkish text categorization,Text,"Classification, Clustering",Integer,6K,-,2/7/2017,2017
21,BAUM-1,Time-Series,Classification,,18K,-,11/8/2018,2018
22,Opinion Corpus for Lebanese Arabic Reviews (OCLAR),Text,Classification,Integer,92K,-,6/16/2019,2019
23,Document Understanding,,,N/A,-,-,10/31/1994,1994
24,UbiqLog (smartphone lifelogging),Multivariate,Causal-Discovery,,78M,-,6/15/2016,2016
0,IIWA14-R820-Gazebo-Dataset-10Trajectories,null,Regression,Integer,-,-,6/8/2020,2020
1,M. Tuberculosis Genes,,,N/A,-,-,7/13/2001,2001
2,BAUM-2,Time-Series,Classification,,05K,-,11/8/2018,2018
3,MSNBC.com Anonymous Web Data,,,Categorical,82K,-,N/A,-
4,Function Finding,null,Function-Learning,Real,352,-,8/31/1990,1990
5,Qualitative Structure Activity Relationships,,,N/A,-,-,N/A,-
6,UJI Pen Characters (Version 2),"Multivariate, Sequential",Classification,Integer,64K,-,1/21/2009,2009
7,NSF Research Award Abstracts 1990-2003,,,N/A,129K,-,11/17/2003,2003
8,Pioneer-1 Mobile Robot Data,,,"Categorical, Real",-,-,1/27/1999,1999
9,PANDOR,Multivariate,Recommendation,Categorical,-,-,10/1/2018,2018
10,Prodigy,,,N/A,-,-,N/A,-
11,Logic Theorist,,,N/A,-,-,N/A,-
12,University of Tehran Question Dataset 2016 (UTQD.2016),Text,Classification,,18K,3,9/26/2017,2017
13,Higher Education Students Performance Evaluation,Multivariate,Classification,Integer,145,33,8/14/2023,2023
14,QtyT40I10D100K,Sequential,Other,Integer,96M,4,10/20/2012,2012
15,Undocumented,,,N/A,-,-,N/A,-
16,Opinosis Opinion / Review,Text,Classification,,51,-,7/5/2010,2010
17,chestnut - LARVIC,Multivariate,"Classification, Clustering",,45K,3,5/29/2017,2017
18,Moral Reasoner,,,N/A,202,-,5/31/1994,1994
19,PMU-UD,Univariate,Classification,,18K,9,8/4/2018,2018
20,Sattriya_Dance_Single_Hand_Gestures Dataset,Multivariate,Classification,N/A,45K,-,7/21/2019,2019
21,DGP2 - The Second Data Generation Program,,,Real,-,-,N/A,-
22,EBL Domain Theories,,,N/A,-,-,N/A,-
23,Room Occupancy Estimation,"Multivariate, Time-Series",Classification,Real,13K,16,8/15/2023,2023
24,Image Recognition Task Execution Times in Mobile Edge Computing,"Sequential, Time-Series",Regression,Real,4K,2,8/14/2023,2023
0,Risk Factor prediction of Chronic Kidney Disease,Multivariate,"Classification, Regression",Real,202,29,8/14/2023,2023
1,TUANDROMD (Tezpur University Android Malware Dataset),Multivariate,Classification,Integer,46K,241,8/14/2023,2023
2,Rocket League Skillshots,"Tabular, Time-Series",Classification,Real,297,-,8/14/2023,2023
3,Maternal Health Risk,Multivariate,Classification,"Real, Integer",01K,6,8/14/2023,2023
4,Power consumption of Tetouan city,"Multivariate, Time-Series",Regression,"Real, Integer",42K,9,8/13/2023,2023
5,Secondary Mushroom Dataset,Tabular,Classification,Real,07K,20,8/13/2023,2023
6,Roman Urdu Sentiment Analysis Dataset (RUSAD),Text,Classification,Categorical,11K,2,8/14/2023,2023
7,Accelerometer,Multivariate,"Classification, Regression","Real, Integer",153K,5,8/13/2023,2023
8,REJAFADA,Multivariate,Classification,Integer,2K,-,8/14/2023,2023
9,Non verbal tourists data,Multivariate,"Classification, Clustering","Real, Integer",73,22,8/13/2023,2023
10,Pedal Me Bicycle Deliveries,Time-Series,Regression,Real,36,15,8/13/2023,2023
11,Steel Industry Energy Consumption,Multivariate,Regression,"Real, Categorical",04K,11,8/13/2023,2023
12,TamilSentiMix,"Multivariate, Text",Classification,Categorical,74K,-,8/13/2023,2023
13,Influenza outbreak event prediction via Twitter,Multivariate,Classification,"Real, Integer",84K,523,8/14/2023,2023
14,Average Localization Error (ALE) in sensor node localization process in WSNs,Multivariate,Regression,Real,107,6,8/13/2023,2023
15,Turkish Music Emotion,Multivariate,Classification,"Real, Integer",400,50,8/14/2023,2023
16,Gender Gap in Spanish WP,Multivariate,Classification,"Real, Integer",75K,21,8/13/2023,2023
17,Raisin,Multivariate,Classification,"Real, Integer",900,8,8/13/2023,2023
