,Rating,Review sumary,Full review
0,5,Mind-blowing purchase,Photos super
1,5,Classy product,"Camera is awesome
Best battery backup
A performer ğŸ‘ŒğŸ»
It will be a real value for money if they provide charger and earphone inbox!"
2,5,Terrific,Very very good
3,5,Wonderful,This is amazing at all
4,5,Must buy!,Itâ€™s really awesome
5,5,Just wow!,Perfect Product!!
6,5,Perfect product!,V Good all
7,5,Fabulous!,SuperğŸ”¥ and good performance ğŸ‘Œâ¤ï¸
8,5,Best in the market!,Good Camera
9,5,Worth every penny,Feeling awesome after getting the delivery of my phone. Dual speakers makes the sound quality very loud. Amazing!!
10,5,Terrific purchase,Value for money ğŸ˜
11,5,Must buy!,"Go for iPhone 11 , if confused between iPhone 11 or iPhone 12 mini.Battery Life is enhanced , it worked for complete 2 days without charging it. Explored new features of taking screenshot by clicking on apple logo by Haptic Touch , Portrait mode with stage effect enhanced & slow motion selfie."
12,5,Great product,Purple is best
13,5,Simply awesome,Buy it if you afford it ğŸ˜œ
14,5,Excellent,Best camera ever
15,5,Brilliant,Excellent Phone.
16,5,Terrific purchase,Value for money ğŸ–¤ğŸ–¤
17,5,Fabulous!,Itâ€™s very good battery life and display and video quality and ther performance of iPhone.....ğŸ”¥ğŸ”¥ğŸŒˆ
18,5,Awesome,I dreamt about this day from a long time.... Getting an iPhone with my own money.... Super happy and worth spending every penny
19,5,Simply awesome,Really satisfied with the Product I received... Itâ€™s totally genuine and the packaging was also really good so if ur planning to buy just go for it.
20,5,Best in the market!,Damn this phone is a blast . Upgraded from android to ios and is a duperb experience. Battery backup is top notch and display also pretty good
21,5,Excellent,NYC
22,5,Wonderful,Very good
23,4,Worth the money,Camera is just wow ğŸ‘ŒğŸ‘Œ
24,5,Best in the market!,Superbb performance n camera is awesome ğŸ˜ğŸ˜
25,5,Highly recommended,"Awesome Battery Life...Camera clarity is too good..
Value for money...Its gives full day battery backup in single charge..."
26,4,Very Good,"ğŸˆBattery
ğŸˆPerformance
ğŸˆCamera
ğŸˆPrice

ğŸŠAll together worth IT

â™¥ï¸â™¥ï¸â™¥ï¸â™¥ï¸"
27,5,Just wow!,"Nice product
The camera is extremely good which i liked the most.
Got delivery within 24 hrs. Thanks to Flipkart"
28,5,Brilliant,Phone Is So Good
29,5,Super!,Good product ğŸ‘ŒI love iPhone
30,5,Highly recommended,"It's my first time to use iOS phone and I am loving my upgradation ğŸ˜ğŸ˜ I love the color, I love the assebility of the phone....I need to learn more about its functionality, but as far as I have seen, it's quite easy and it has a lot of functions to work on, specially if you are a content writer or a blogger you get a lot of content creation platforms and they are really amazing.

This phone not only for good quality photography but a lot of other task too.ğŸ˜ğŸ’¯"
31,5,Perfect product!,Amazing phone with great cameras and better battery which gives you the best performance. I just love the camera .
32,5,Best in the market!,"Great iPhone very snappy experience as apple kind. Upgraded from iPhone 7.
Pros
-Camera top class
- Battery top performed
-Chipset no need to say as apple kind
-Security as you expect from apple
- Display super bright industry leading colour
accuracy and super responsive
-Build quality as expect from apple sturdy
premium durable beautiful stylish.
-Os most stable os in smartphone industry

Cons
-No 5G
-Display is not based on OLED technology
-Charger headphones and 1 apple stic..."
33,5,Brilliant,very good camera quality
34,5,Classy product,Gifted my man on his 30th birthday ğŸ‚ He loves it.. Him happy so i am more than happy ğŸ˜ğŸ˜˜â¤ï¸ğŸ¥°
35,5,Wonderful,Amazing...I am switched Samsung note9 into Iphone 11 one year ago..This phone is amazing...Android ki auqat Iphone use karne ke baad hi pata chalegi!!!!
36,5,Highly recommended,Awesome Best iPhone ğŸ˜ğŸ‘ğŸ¼
37,4,Value-for-money,"I'm Really happy with the product
Delivery was fast as well
..it was a gift for my sister and she loved it so much."
38,5,Worth every penny,"Previously I was using one plus 3t it was a great phone
And then I decided to upgrade I am stuck between Samsung s10 plus or iPhone 11
I have seen the specs and everything were good except the display itâ€™s somewhere between 720-1080 and itâ€™s not even an amoled itâ€™s an LCD display
But I decided to go with iPhone because I have never used an IOS device I have Been an android user from the past 9 years I ordered IPhone 11 (128gb) product red
My experience after using 3 weeks
1. The delivery ..."
39,5,Worth every penny,excellent look...
40,5,Wonderful,"If you get it you would definitely not regret it. It is a premium flagship phone. Love for apple, love for iphone."
41,5,Simply awesome,Awsn loved it
42,5,Awesome,"Always love the apple products, upgraded from old iPhone 6S plus to this after having my first baby. I just love to click babyâ€™s photos with it. Overall I just love this phone. Battery back up is okay, sound quality is good. Havenâ€™t tested yet waterproof yet. Only one thing I hate is apple could have given charger & headphones in box."
43,5,Best in the market!,"Donâ€™t expect much from front cameraâ€¦ especially who loves beauty mode and filters.. back cameras are goodâ€¦video department is always plus point in iPhonesâ€¦ battery capacity is really surprising lasts for one day at leastâ€¦ performance always good and smoothâ€¦ speakerâ€™s quality is goodâ€¦built quality best and haptic feedback is enjoyableâ€¦
Note : images are good after you edit"
44,5,Best in the market!,"first iphone from android.
what can I say, iphone 11 says it all.
earlier I used to abuse iphone users by saying show off, but after using it .. itâ€™s completely worth it..
p.s: there is still little pain in lower abdomen ğŸ˜œ"
45,5,Just wow!,"Loving it!!! ğŸ¤©
SE to 11â¤ï¸
A Big & Worthy UpgradeğŸ¥°ğŸ’¥"
46,5,Perfect product!,"Value for money
5 star rating
Excellent camera
Battery backup full day in single charge.

Tougher and water resistant design, glossy back.
The screen has excellent brightness and contrast.
Apple A13 Bionic is the fastest smartphone chip on the planet.
Excellent battery life, fast charging support.
Stereo speakers with great quality."
47,5,Highly recommended,What a camera .....just awesome ..you can feel this iPhone just awesome . Good for gaming also ...try pubg in hd itâ€™s just wow
48,5,Simply awesome,over all its nice.. color... purple. ğŸ˜
49,5,Great product,"Amazing Powerful and Durable Gadget.

Iâ€™m am very happy with the camera picture quality, Amazing face id unlocked in dark room, Strong battery with perfect screen size as you can carry easily in pocket. This is my third iPhone.

I shifted from android Samsung Note series to iPhone because of the strong build quality and peace of mind for next 3-4 years.

Donâ€™t think to much just go for it and I suggest you to go for minimum 128gb variant or more 256gb.

Iâ€™ve attached my puppy pics and no fi..."
50,5,Brilliant,"A wort full value for money decision itâ€™s . Simply go for it in 2021 its still a good decision . Awesome camera , Super smothered performance, Heck of build quality. And Most important it protects your privacy."
51,5,Must buy!,"This is my first Iphone. Very smooth and super fast
Thankyou @Flipkart god bless you with more success."
52,5,Just wow!,"Switched from 6s and absolutely loving it ğŸ˜
Everything is sooo good. Totally worth it ğŸ’¯â˜ºï¸"
53,5,Awesome,"iPhone 11 is a good phone. Not a very big difference between 12 except for the OLED screen and a very minor camera improvement which is you cant make a difference. If you are planning for a iPhone and you have budget you definitely can go for this without second thoughts.
Now some people are complaining and giving review 0 or so because there is no charger and headphones, but thats been already mentioned so I assume they are illiterate. Its not that Flipkart is removing them duh. Anyways bee..."
54,5,Worth every penny,iPhone is delivered on time. Display is great u wonâ€™t feel that itâ€™s a hd panel. Quality is excellent. Sounds is great it has stereo setup. Camera is good. iOS 14.2 comes in the box. U roughly get 113 gb free if u buy 128 gb. This is my second iPhone and i love it. Value for money.
55,5,Fabulous!,Everything is perfect pictures come out so clearly and at first I wasnâ€™t sure when I got it then when I started to use it and get the hang of it it was amazing!! I canâ€™t wait to see what the next future phones will be like. The screen display on this bad boy are unbelievable they are so clear and never fail me. The performance is super cool there is a lot of cool features as well I like this phone because I feel that it is easy to use and one of my favorite things about this phone is the Face...
56,5,Wonderful,Its good.. a little heavy on my pinky but its cute ! Well m not any great photographer but putting these pictures just in case u knwâ€¦. Would help someone make any decisions
57,5,Wonderful,Definitely worth purchase
58,5,Fabulous!,This is my first iOS phone. I am very happy with this product. Very much satisfied with this. I love this phone.
59,5,Brilliant,Fantastic phone
60,5,Highly recommended,My first ever I phone and awesome performance camera battery and smoother than my previous phone
61,5,Fabulous!,Gift this to your loved ones fabulous product and amazing super fast delivery by flipkart
62,5,Classy product,Best and amazing product.....phone looks so premium.... battary is also good as expected .... Wide angle camera is so addictive ...if you are a IOS lover....then this phone will be the best choice for you all!!ğŸ’¯ğŸ”¥
63,5,Mind-blowing purchase,Iâ€™m satisfyğŸ˜ğŸ˜
64,4,Good quality product,"I'm switching this phone to oppo reno 10x zoom
It's really impressive
Rarely I'm missing smooth display touch response like oppo reno but
I really loved it.
Camera really impressive"
65,4,Pretty good,"I was using Iphone 6s and also Oneplus 6t. Both mobiles were perfectly alright in Photos, gaming, and smooth interface . My 6s mobile getting battery issue. thought upgrade to 11. Really like this mobile of its Internal storage (compare to 6s) , camera and its touch feeling. Its a worth buying mobile for me."
66,5,Excellent,A perfect phone and a good battery super camera and the sound is dynamic overall the phone is perfect for upgrading from lower iPhone model to iPhone 11
67,5,Wonderful,I upgraded from 7 plus and Im not regretting it. The only thing missing is OLED display other than that 11 is no where lesser than 11pro.
68,5,Excellent,"Review After 10month
Superb quality product
Battery run 40hrs perfect
After 10 months battery health was 95% with 20W adapter
Love apple ğŸ"
69,5,Brilliant,Awesome cameraâ¤ï¸ and gud battery backup
70,5,Terrific purchase,Awesome ğŸ’™
71,5,Mind-blowing purchase,"Absolutely powerful gadget. Loved itâ€™s look! Soo glassy and classy. I would definitely recommend this model of Apple. Only disappointed with the 5W charger, one should purchase an 18W adapter for fast charging. Though battery backup is great. Bought it in September 2020, reviewing after so long so Iâ€™m gonna put the genuine review here.âœ…"
72,5,Just wow!,Product 100%
73,5,Worth every penny,"i11 is worthy to buy, too much happy with the product. Thank u flipkart I received the item on time..loved it.."
74,5,Perfect product!,Itâ€™s a must buy who is looking for an upgrade from previous generation of iPhones. If you are using XR then still you can hold on for sometime and upgrade to 2020 model else this phone is a must buy . Camera quality is amazing and wide angle is something to count upon. Performance wise itâ€™s amazing and feels premium while holding in hand. So a big YES for this device. Go for 128 GB variant as the 4K videos will occupy lots of space and the storage can get over very quickly. Try to buy it with...
75,5,Simply awesome,"Just awesome phone, everything works in such a smooth and refined way !!!
Camera - next level
Display - next level
Performance - monster
Battery - next level
Everything works at the best level with A13 Bionic Chip
Value for money iphone
You should go for this just killer performance ğŸ”¥ğŸ”¥"
76,5,Must buy!,"I rate this product 5* as it has got amazing user experience with the best performing A13 bionic processor. The screen responds and graphics rendering is top notch. With casual gaming and internet browsing, the battery lasts for approx. 1 day. Camera is very good. You will fall in love with the portrait mode. You can call me a loyal Apple customer or whatever but I wonâ€™t stop praising the products and overall experience. That user experience matters and is worth every penny you pay.

Below ar..."
77,5,Must buy!,Loved it...
78,5,Wonderful,Awesome camera.
79,5,Perfect product!,Very nice iPhone 11 i lake
80,5,Highly recommended,Amazing camera quality.
81,5,Highly recommended,"Amazing camera quality as expected, battery also has very good performance. Display, body, and touch experience is the best Iâ€™ve ever had. Sound quality of speakers is more than sufficient. Apple is known for itâ€™s customer friendly security services and I can see it how. The A13 processor is the best in its work. So I would definitely recommend it for everyone who are looking for it, just go for it without delay.

The most amazing thing it the delivery. Flipkart has delivered it in the span ..."
82,4,Good choice,So far itâ€™s been an AMAZING experience coming back to iOS after nearly a decade but itâ€™s not as versatile as android though phone is sturdy dropped it accidentally a couple of times and nothing happened fortunately camera is awesome
83,5,Highly recommended,"Best Mobile in the world... after 11pro
nothing to say...
just ..... jst...ğŸ˜ğŸ˜ğŸ˜"
84,5,Best in the market!,Very good
85,5,Perfect product!,"Value for moneyâ¤ï¸â¤ï¸
Its awesome mobile phone in the world ...
Display was very good and bright ..
Trust me freinds you r never regret after Buying..
Just go for it....
I love this phone and i switch to iphone x to 11"
86,5,Highly recommended,"iphone 11 is a very good phone to buy only if you can compromise for the display. The display on this is device is pretty good but you can get other options with better displays in this price segment.
If you can survive with an HD+ LCD panel with thicker bezels and a notch up top then this is a very good phone for you.
Cameras are awesome, battery backup excellent, great performance and a decent premium look. Good job Apple !"
87,5,Wonderful,Excellent Fabulous Adorable Iphone 11 Value for money and premium phone
88,5,Must buy!,"Best Apple iPhone that i have bought at a very reasonable price, camera quality is next level just awesome n of superior quality android phones not even close(RIP) to that and also battery is really good but packaging by Flipkart of iPhone was very poor of such a expensive product, firstly im bit worried about the quality of product if i purchased it through online how was the product but i think now this was mine best decision to bought it through Flipkart online because i got genuine Apple..."
89,5,Super!,"Exactly mach what you expect and where Spent your money .
Pros:
1. Battery 10/10
2. Camera 10/10
3. Performance 10/10
4. Premiem Feel 10/10
5. One handed grip 9/10
6. Network Capability 9/10
7. Siri 8/10
8. App manegement 9/10
9. Sound on Speaker 8/10

Cons:
1. Side Panel colour quality 6/10
2. In-box Charger 6/10"
90,5,Highly recommended,Excellent product but packing was not upto mark..
91,5,Mind-blowing purchase,"Excellent camera ğŸ“¸ And Display touching very Nice And Smooth and very improvement against
I phone 11 and new processor is very fast"
92,5,Classy product,Just enjoy the power of it!
93,4,Value-for-money,"Just got this iphone 11
And it is most powerful mobile phone I have used ever

So,go for it if you want a phone with best specification like camera,battery backup,display, A13 bionic chip

That's my review about this phone but yours can be differ from me...."
94,5,Perfect product!,Iphone is just awesome.. battery backup is very very nice.. continuously for 10 hours we can use it.camera is just awesome.. display is just fab.i love it alot..i had to wait 15 days for it as i pre ordered it..overalll it's worth the price..these all images are clicked by my iPhone..and i love it.
95,5,Great product,"Awesome phone, great display(may not be a OLED)...very fast processor...taking portrait photo is the real joy."
96,5,Great product,Superb Phone..
97,5,Wonderful,Quality camera
98,5,Just wow!,Loved it!!
99,5,Great product,I was using android phone earlier..I was thinking apple phones are much more costy than other phones with less specifications..so why to waste money in this??..But trust me guys once if you start using ios then you won't go back to android...beleive me this phone is the best than all other...There is no other phone which can beat iphones in terms of camera..iphones gives the best real image..its very faster and smoother than android phones...if you think to switch to ios iphone 11 is the best...
